country_code,country_name,series_code,series_name,scale,decimals,year,value,rank
ESP,Spain,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1990,10.9,26.0
EST,Estonia,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1990,21.1,60.0
ETH,Ethiopia,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1990,184.1,196.0
FIN,Finland,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1990,6.7,3.0
FJI,Fiji,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1990,29.5,76.0
FRA,France,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1990,8.8,16.0
FSM,"Micronesia, Fed. Sts.",SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1990,56.4,116.0
GAB,Gabon,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1990,92.6,147.0
GBR,United Kingdom,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1990,9.3,19.0
GEO,Georgia,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1990,46.8,101.0
GHA,Ghana,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1990,121.7,165.0
GIN,Guinea,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1990,229.2,206.0
GMB,"Gambia, The",SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1990,165.2,187.0
GNB,Guinea-Bissau,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1990,209.9,201.0
GNQ,Equatorial Guinea,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1990,189.5,197.0
GRC,Greece,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1990,12.7,35.0
GRD,Grenada,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1990,21.2,61.0
GTM,Guatemala,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1990,77.9,137.0
GUY,Guyana,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1990,65.8,128.0
HIC,High income,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1990,12.2557184058,34.0
HND,Honduras,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1990,58.1,119.0
HRV,Croatia,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1990,12.9,36.0
HTI,Haiti,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1990,150.5,180.0
HUN,Hungary,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1990,18.7,54.0
IDN,Indonesia,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1990,85.0,141.0
IND,India,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1990,114.8,159.0
IRL,Ireland,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1990,9.0,17.0
IRN,"Iran, Islamic Rep.",SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1990,64.8,127.0
IRQ,Iraq,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1990,46.1,100.0
ISL,Iceland,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1990,6.3,1.0
ISR,Israel,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1990,11.5,31.0
ITA,Italy,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1990,9.6,21.0
JAM,Jamaica,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1990,38.0,86.0
JOR,Jordan,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1990,38.3,88.0
JPN,Japan,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1990,6.4,2.0
KAZ,Kazakhstan,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1990,57.4,118.0
KEN,Kenya,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1990,99.4,154.0
KGZ,Kyrgyz Republic,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1990,71.8,131.0
KHM,Cambodia,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1990,121.0,164.0
KIR,Kiribati,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1990,87.4,143.0
KNA,St. Kitts and Nevis,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1990,28.3,74.0
KOR,"Korea, Rep.",SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1990,7.5,5.0
KWT,Kuwait,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1990,15.4,41.0
LAC,Latin America & Caribbean,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1990,54.4279205988,113.0
LAO,Lao PDR,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1990,144.8,178.0
LBN,Lebanon,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1990,38.3,89.0
LBR,Liberia,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1990,226.6,205.0
LBY,Libya,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1990,44.5,95.0
LCA,St. Lucia,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1990,22.5,65.0
LIC,Low income,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1990,164.5503841914,185.0
LIE,Liechtenstein,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1990,10.0,24.0
LKA,Sri Lanka,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1990,31.5,77.0
LMC,Lower middle income,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1990,112.9416816272,158.0
LMY,Low & middle income,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1990,98.0179341465,152.0
LSO,Lesotho,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1990,89.3,144.0
LTU,Lithuania,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1990,17.4,48.0
LUX,Luxembourg,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1990,8.4,10.0
LVA,Latvia,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1990,20.6,57.0
MAR,Morocco,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1990,85.9,142.0
MCO,Monaco,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1990,8.5,12.0
MDA,Moldova,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1990,37.1,84.0
MDG,Madagascar,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1990,158.8,183.0
MDV,Maldives,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1990,101.6,155.0
MEX,Mexico,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1990,48.6,104.0
MHL,Marshall Islands,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1990,51.1,109.0
MIC,Middle income,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1990,84.695508841,140.0
MKD,"Macedonia, FYR",SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1990,39.1,91.0
MLI,Mali,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1990,255.4,208.0
MLT,Malta,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1990,11.3,29.0
MMR,Myanmar,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1990,111.7,157.0
MNA,Middle East & North Africa,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1990,74.4701936851,133.0
MNE,Montenegro,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1990,17.6,49.0
MNG,Mongolia,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1990,106.9,156.0
MOZ,Mozambique,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1990,218.7,203.0
MRT,Mauritania,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1990,124.1,168.0
MUS,Mauritius,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1990,23.9,67.0
MWI,Malawi,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1990,222.1,204.0
MYS,Malaysia,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1990,17.9,52.0
NAM,Namibia,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1990,73.1,132.0
NER,Niger,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1990,311.0,210.0
NGA,Nigeria,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1990,212.6,202.0
NIC,Nicaragua,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1990,68.0,130.0
NIU,Niue,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1990,14.2,38.0
NLD,Netherlands,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1990,8.3,9.0
NOR,Norway,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1990,8.5,13.0
NPL,Nepal,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1990,140.9,176.0
NRU,Nauru,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1990,40.0,92.0
NZL,New Zealand,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1990,11.1,28.0
OMN,Oman,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1990,47.2,102.0
PAK,Pakistan,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1990,123.6,167.0
PAN,Panama,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1990,33.2,80.0
PER,Peru,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1990,77.6,135.0
PHL,Philippines,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1990,59.4,123.0
PLW,Palau,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1990,32.6,79.0
PNG,Papua New Guinea,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1990,89.5,145.0
POL,Poland,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1990,17.3,46.0
PRK,"Korea, Dem. Rep.",SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1990,45.0,99.0
PRT,Portugal,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1990,14.6,40.0
PRY,Paraguay,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1990,50.1,107.0
QAT,Qatar,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1990,20.8,59.0
ROM,Romania,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1990,37.4,85.0
RUS,Russian Federation,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1990,26.5,70.0
RWA,Rwanda,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1990,162.8,184.0
SAS,South Asia,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1990,120.3255360535,162.0
SAU,Saudi Arabia,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1990,44.6,96.0
SDN,Sudan,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1990,124.9,169.0
SEN,Senegal,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1990,138.6,174.0
SGP,Singapore,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1990,7.5,6.0
SID,Small island developing states,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1990,80.692633861,139.0
SLB,Solomon Islands,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1990,44.9,98.0
SLE,Sierra Leone,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1990,276.0,209.0
SLV,El Salvador,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1990,61.9,125.0
SMR,San Marino,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1990,11.9,32.0
SOM,Somalia,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1990,180.0,192.0
SRB,Serbia,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1990,28.6,75.0
SSA,Sub-Saharan Africa,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1990,174.6045457563,189.0
STP,Sao Tome and Principe,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1990,93.8,150.0
SUR,Suriname,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1990,51.8,111.0
SVK,Slovak Republic,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1990,17.6,50.0
SVN,Slovenia,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1990,10.4,25.0
SWE,Sweden,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1990,6.7,4.0
SWZ,Swaziland,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1990,96.1,151.0
SYC,Seychelles,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1990,16.6,42.0
SYR,Syrian Arab Republic,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1990,38.2,87.0
TCD,Chad,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1990,207.3,199.0
TGO,Togo,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1990,147.1,179.0
THA,Thailand,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1990,31.8,78.0
TJK,Tajikistan,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1990,116.4,161.0
TKM,Turkmenistan,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1990,98.3,153.0
TMP,Timor-Leste,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1990,168.7,188.0
TON,Tonga,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1990,24.5,68.0
TTO,Trinidad and Tobago,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1990,36.6,83.0
TUN,Tunisia,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1990,49.3,106.0
TUR,Turkey,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1990,79.8,138.0
TUV,Tuvalu,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1990,57.0,117.0
TZA,Tanzania,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1990,154.8,182.0
UGA,Uganda,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1990,174.9,190.0
UKR,Ukraine,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1990,20.7,58.0
UMC,Upper middle income,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1990,48.9215573361,105.0
URY,Uruguay,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1990,23.1,66.0
USA,United States,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1990,11.3,30.0
UZB,Uzbekistan,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1990,77.3,134.0
VCT,St. Vincent and the Grenadines,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1990,26.5,71.0
VEN,"Venezuela, RB",SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1990,33.3,81.0
VNM,Vietnam,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1990,51.2,110.0
VUT,Vanuatu,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1990,38.6,90.0
WBG,West Bank and Gaza,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1990,44.7,97.0
WLD,World,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1990,89.8716396205,146.0
WSM,Samoa,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1990,27.1,73.0
YEM,"Yemen, Rep.",SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1990,128.0,171.0
ZAF,South Africa,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1990,59.8,124.0
ZAR,"Congo, Dem. Rep.",SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1990,181.4,193.0
ZMB,Zambia,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1990,182.8,194.0
ZWE,Zimbabwe,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1990,77.6,136.0
ADO,Andorra,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1991,8.2,14.0
AFG,Afghanistan,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1991,197.6,198.0
AGO,Angola,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1991,239.1,207.0
ALB,Albania,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1991,39.8,92.0
ARE,United Arab Emirates,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1991,20.5,60.0
ARG,Argentina,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1991,25.8,71.0
ARM,Armenia,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1991,52.5,114.0
ATG,Antigua and Barbuda,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1991,24.8,69.0
AUS,Australia,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1991,8.6,18.0
AUT,Austria,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1991,8.9,20.0
AZE,Azerbaijan,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1991,91.1,148.0
BDI,Burundi,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1991,182.6,195.0
BEL,Belgium,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1991,9.6,23.0
BEN,Benin,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1991,173.9,189.0
BFA,Burkina Faso,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1991,203.7,199.0
BGD,Bangladesh,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1991,137.9,178.0
BGR,Bulgaria,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1991,22.3,65.0
BHR,Bahrain,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1991,16.2,43.0
BHS,"Bahamas, The",SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1991,21.2,62.0
BIH,Bosnia and Herzegovina,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1991,17.6,52.0
BLR,Belarus,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1991,17.0,46.0
BLZ,Belize,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1991,42.0,94.0
BOL,Bolivia,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1991,116.7,162.0
BRA,Brazil,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1991,57.1,121.0
BRB,Barbados,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1991,17.3,50.0
BRN,Brunei Darussalam,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1991,11.8,34.0
BTN,Bhutan,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1991,132.6,172.0
BWA,Botswana,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1991,60.6,126.0
CAF,Central African Republic,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1991,166.7,187.0
CAN,Canada,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1991,8.0,11.0
CHE,Switzerland,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1991,7.8,7.0
CHL,Chile,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1991,17.5,51.0
CHN,China,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1991,47.4,104.0
CIV,Cote d'Ivoire,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1991,152.7,181.0
CMR,Cameroon,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1991,137.6,177.0
COG,"Congo, Rep.",SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1991,114.8,160.0
COK,Cook Islands,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1991,19.0,56.0
COL,Colombia,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1991,35.4,82.0
COM,Comoros,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1991,122.8,169.0
CPV,Cape Verde,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1991,57.8,122.0
CRI,Costa Rica,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1991,16.7,44.0
CUB,Cuba,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1991,12.7,37.0
CYP,Cyprus,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1991,10.8,28.0
CZE,Czech Republic,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1991,13.5,38.0
DEU,Germany,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1991,8.1,13.0
DJI,Djibouti,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,1991,120.5,165.0
